Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,Effectiveness
addedVarsGyro_Var1,7,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.115,0.115,600,False,5,0.2
addedVarsGyro_Var1,8,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.112,0.112,600,False,5,0.2
addedVarsGyro_Var1,9,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.079,0.08,600,False,5,0.2
addedVarsGyro_Var1,10,inputs-scalability-JVTS/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableS5.spectra,1,1,0.088,0.088,600,False,5,0.2
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.016,0.017,600,False,2,0.5
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.015,0.016,600,False,2,0.5
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.016,0.016,600,False,2,0.5
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.015,0.016,600,False,2,0.5
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.02,0.02,600,False,2,0.5
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.019,0.019,600,False,2,0.5
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1,1,0.016,0.016,600,False,2,0.5
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.02,0.02,600,False,3,0.3333333333333333
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.025,0.026,600,False,3,0.3333333333333333
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.021,0.021,600,False,3,0.3333333333333333
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.022,0.022,600,False,3,0.3333333333333333
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.018,0.019,600,False,3,0.3333333333333333
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.019,0.019,600,False,3,0.3333333333333333
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.022,0.022,600,False,3,0.3333333333333333
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.02,0.021,600,False,3,0.3333333333333333
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.02,0.021,600,False,3,0.3333333333333333
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE1.spectra,1,1,0.022,0.022,600,False,3,0.3333333333333333
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.034,0.034,600,False,5,0.2
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.025,0.026,600,False,5,0.2
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.026,0.026,600,False,5,0.2
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.028,0.028,600,False,5,0.2
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.029,0.029,600,False,5,0.2
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.024,0.024,600,False,5,0.2
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.024,0.024,600,False,5,0.2
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.024,0.024,600,False,5,0.2
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.031,0.031,600,False,5,0.2
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE2.spectra,1,1,0.028,0.028,600,False,5,0.2
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.04,0.04,600,False,9,0.1111111111111111
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.054,0.054,600,False,9,0.1111111111111111
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.052,0.052,600,False,9,0.1111111111111111
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.037,0.037,600,False,9,0.1111111111111111
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.034,0.034,600,False,9,0.1111111111111111
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.036,0.036,600,False,9,0.1111111111111111
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.049,0.05,600,False,9,0.1111111111111111
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.042,0.043,600,False,9,0.1111111111111111
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.04,0.04,600,False,9,0.1111111111111111
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE3.spectra,1,1,0.036,0.036,600,False,9,0.1111111111111111
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.065,0.065,600,False,17,0.058823529411764705
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.088,0.088,600,False,17,0.058823529411764705
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.07,0.07,600,False,17,0.058823529411764705
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.089,0.09,600,False,17,0.058823529411764705
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.066,0.067,600,False,17,0.058823529411764705
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.068,0.068,600,False,17,0.058823529411764705
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.064,0.064,600,False,17,0.058823529411764705
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.066,0.066,600,False,17,0.058823529411764705
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.097,0.097,600,False,17,0.058823529411764705
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE4.spectra,1,1,0.064,0.064,600,False,17,0.058823529411764705
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.165,0.165,600,False,33,0.030303030303030304
