Benchmark,Filename,DepthToFirst,DuplicateNodes,Effectiveness,MaxDepth,MinNumVariables,NodesExplored,NodesToFirst,NumFullyNonIOSeparable,NumInterpolantsComputed,NumNonStateSeparable,NumRepairs,NumYUnsat,RefsPerDepth,Runtime,TimeToFirst,TimedOut,TotalTimeCounterstrategy,TotalTimeCounterstrategyComputed,TotalTimeGenerationMethod,UniqueEffectiveness,UniqueNodesExplored,UniqueSols,Runs
SYNTECH15-1UNREAL,PcarLTL_394_PCar_1.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.7,1.0,0.0,1.0,0.0,1.0,0.16515990199841324,0.16009229820047036,0.0,0.02989358539634846,0.02989358539634846,0.05229153010295699,1.0,2.0,1.0,10
SYNTECH15-1UNREAL,PcarLTL_463_PCar_1.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.7,1.0,0.0,1.0,0.0,1.0,0.18900316269791798,0.18296713169984286,0.0,0.03390157929898119,0.03390157929898119,0.053022535498894255,1.0,2.0,1.0,10
SYNTECH15-1UNREAL,PcarLTL_464_PCar_fixed_1.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,0.2759452127014811,0.27018040449838737,0.0,0.07307340680054035,0.07307340680054035,0.07662004400044675,1.0,2.0,1.0,10
SYNTECH15-1UNREAL,PcarLTL_552_PCar_1.spectra,4.333333333333333,3.4,0.20427834618697782,3.6,2.0,1236.6,92.0,0.0,393.1,0.0,247.8,592.3,96.85006993006994,149.73620266689755,12.370164047667155,0.1,10.71960380634844,10.748791543747918,82.95010416677397,0.20427834618697782,1236.6,247.8,10
SYNTECH15-1UNREAL,PcarLTL_553_PCar_1.spectra,4.2,6.5,0.16103872438756311,4.9,3.0,1783.7,91.8,0.0,705.3,0.0,272.8,799.1,171.73922077922077,261.33905785530294,12.122428131800552,0.4,20.279401971222946,22.024638151822696,157.3101419615843,0.16103872438756311,1783.7,272.8,10
SYNTECH15-1UNREAL,PcarLTL_758_PCar_fixed_1.spectra,,0.0,,0.0,,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.1513128532977134,,0.0,0.04670023220096477,0.04670023220096477,0.0,,1.0,0.0,10
SYNTECH15-1UNREAL,PcarLTL_758_PCar_fixed_2.spectra,4.0,0.0,0.13548555071080784,7.3,2.0,305.9,34.3,0.0,151.0,47.7,42.5,112.4,36.644444444444446,39.122585118903956,5.138729291802884,0.0,2.595275571541417,2.595275571541417,22.261728712121837,0.13548555071080784,305.9,42.5,10
SYNTECH15-1UNREAL,PcarLTL_763_PCar_fixed_1.spectra,,0.0,0.0,0.6,,2.2,,0.0,1.0,0.0,0.0,1.2,1.3,0.2355314775006263,,0.0,0.04330609770040605,0.04330609770040605,0.031024584899569142,0.0,2.2,0.0,10
SYNTECH15-1UNREAL,PcarLTL_811_PCar_fixed_3.spectra,2.0,0.0,0.7149149397242699,2.0,5.0,122.9,15.1,0.0,12.2,0.0,87.2,23.5,40.96666666666667,12.219509154999832,4.384445838299871,0.0,1.073410547699313,1.073410547699313,1.1400687326000474,0.7149149397242699,122.9,87.2,10
SYNTECH15-1UNREAL,PcarLTL_820_PCar_fixed_1.spectra,2.0,0.0,0.7962668636558179,2.6,4.0,708.4,24.7,0.0,63.0,0.0,548.6,96.8,168.03333333333333,112.38550843500198,12.388141939601336,0.1,17.166483857493585,17.17416384869357,8.602605316106926,0.7962668636558179,708.4,548.6,10
SYNTECH15-1UNREAL,PcarLTL_820_PCar_fixed_2.spectra,3.0,0.7,0.26018898435124815,6.0,4.0,1322.9,48.9,0.0,770.4,0.0,346.8,205.0,188.8857142857143,600.4977307877001,17.326888755500114,1.0,310.42033112876453,311.9282907019624,117.24911667684935,0.26018898435124815,1322.9,346.8,10
SYNTECH15-1UNREAL,PcarLTL_830_PCar_fixed_1.spectra,2.0,0.0,0.6908479069307452,1.9,2.0,150.7,16.0,0.0,12.5,0.0,114.1,24.1,50.28333333333334,19.473695373599913,8.293796009444728,0.0,3.954236395402404,3.954236395402404,1.1599919153959486,0.6908479069307452,150.7,114.1,10
SYNTECH15-1UNREAL,PcarLTL_830_PCar_fixed_2.spectra,3.6,0.2,0.13846961280641099,5.3,4.0,1095.1,70.0,0.0,778.5,0.0,151.7,164.7,174.52142857142857,600.7813541066993,25.667275942904233,1.0,324.42538758983426,326.09089011753315,129.1649546484172,0.13846961280641099,1095.1,151.7,10
SYNTECH15-1UNREAL,PcarLTL_860_PCar_fixed_1.spectra,3.2,0.0,0.38524490250873983,6.0,4.0,347.9,18.2,0.0,211.9,0.0,134.4,1.6,49.7,601.8943298590996,24.103206698400026,1.0,478.7307276255713,482.8466170815715,32.54423543352313,0.38524490250873983,347.9,134.4,10
