Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,DuplicateNodes,NumInterpolantsComputed,NumNonStateSeparable,Effectiveness,NodesToFirst,DepthToFirst,NumYUnsat,NumYUnsatNoFalse,NumFullyNonIOSeparable,MinNumVariables
AMBA-1,4,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,68,-1,0.6768278480740264,616.4587004460627,600.0,True,219,2,115,18,0.3105022831050228,3.0,1.0,0,0,0,1.0
AMBA-1,5,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,5,-1,0.3768298459472134,1.0688629139913246,600.0,False,8,0,2,0,0.625,2.0,1.0,0,0,0,1.0
AMBA-1,6,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,96,-1,0.3514773309871088,608.4283049869991,600.0,True,348,0,175,30,0.27586206896551724,2.0,1.0,0,0,0,1.0
AMBA-1,7,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,5,-1,0.3930530030047521,0.9904378079809248,600.0,False,8,0,2,0,0.625,2.0,1.0,0,0,0,1.0
AMBA-1,8,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,180,-1,0.3246201319852844,600.9515839080559,600.0,True,558,1,294,45,0.3225806451612903,2.0,1.0,0,0,0,1.0
AMBA-1,9,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,138,-1,0.3220940359169617,605.3004200189607,600.0,True,257,0,93,18,0.5369649805447471,2.0,1.0,0,0,0,1.0
AMBA-1,10,inputs/AMBA-1/amba02_nosafety_nofairness.spectra,5,-1,0.3599660480394959,0.9744872079463676,600.0,False,8,0,2,0,0.625,2.0,1.0,0,0,0,1.0
AMBA-1,1,inputs/AMBA-1/amba04.spectra,18,-1,17.411015661986312,653.7317837709852,600.0,True,112,0,79,3,0.16071428571428573,12.0,3.0,0,0,0,1.0
AMBA-1,2,inputs/AMBA-1/amba04.spectra,18,-1,36.2879829199519,600.0411742599681,600.0,True,142,0,109,16,0.1267605633802817,24.0,3.0,0,0,0,1.0
AMBA-1,3,inputs/AMBA-1/amba04.spectra,10,-1,22.6664323740406,600.5255351070082,600.0,True,118,0,93,3,0.0847457627118644,14.0,3.0,0,0,0,1.0
AMBA-1,4,inputs/AMBA-1/amba04.spectra,21,-1,27.35832729400136,665.8274482709821,600.0,True,165,0,118,12,0.12727272727272726,22.0,3.0,0,0,0,1.0
AMBA-1,5,inputs/AMBA-1/amba04.spectra,22,-1,20.92803718498908,610.5297365689185,600.0,True,155,0,115,5,0.14193548387096774,17.0,3.0,0,0,0,1.0
AMBA-1,6,inputs/AMBA-1/amba04.spectra,7,-1,13.059146918996705,606.7403523179819,600.0,True,97,0,83,8,0.07216494845360824,9.0,3.0,0,0,0,2.0
AMBA-1,7,inputs/AMBA-1/amba04.spectra,25,-1,39.01847725594416,622.6933686119737,600.0,True,213,0,160,10,0.11737089201877934,29.0,3.0,0,0,0,1.0
AMBA-1,8,inputs/AMBA-1/amba04.spectra,19,-1,32.25178154394962,623.7452530299779,600.0,True,136,0,100,5,0.13970588235294118,18.0,3.0,0,0,0,1.0
AMBA-1,9,inputs/AMBA-1/amba04.spectra,9,-1,18.597881335997958,606.6416057400638,600.0,True,136,0,110,9,0.0661764705882353,15.0,3.0,0,0,0,1.0
AMBA-1,10,inputs/AMBA-1/amba04.spectra,7,-1,12.048323463997804,604.0044729959918,600.0,True,98,0,75,6,0.07142857142857142,9.0,3.0,0,0,0,1.0
AMBA-1,1,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,668.752028578001,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,669.2501552649992,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,669.4054357109999,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,4,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,668.4092607150014,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,668.6948563350015,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,669.249429255,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,7,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,668.4730492359995,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,669.4496549790019,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,9,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,669.0732396640014,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba04_no_safety.spectra,0,-1,,669.0878739419968,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,688.365034765,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,686.3203880750007,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,682.0889881949988,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,4,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,689.414219768998,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,681.7596515860023,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,687.1493443089967,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,7,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,690.2645577889998,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,687.9605812570007,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,9,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,682.6594213490025,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba04_no_safety_0.spectra,0,-1,,688.0322600569998,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba04_noassumptions.spectra,2,-1,3.555840151006123,4.036029378999956,600.0,False,5,0,3,0,0.4,4.0,2.0,0,0,0,1.0
AMBA-1,2,inputs/AMBA-1/amba04_noassumptions.spectra,3,-1,2.8283518339740112,7.038582284003496,600.0,False,8,0,5,0,0.375,4.0,2.0,0,0,0,1.0
AMBA-1,3,inputs/AMBA-1/amba04_noassumptions.spectra,3,-1,5.754138362943195,9.873847829992885,600.0,False,12,0,9,3,0.25,7.0,2.0,0,0,0,1.0
AMBA-1,4,inputs/AMBA-1/amba04_noassumptions.spectra,3,-1,3.472667228896171,6.0718072899617255,600.0,False,8,0,5,0,0.375,4.0,2.0,0,0,0,1.0
AMBA-1,5,inputs/AMBA-1/amba04_noassumptions.spectra,2,-1,3.208809495903552,3.604664134909399,600.0,False,5,0,3,0,0.4,4.0,2.0,0,0,0,1.0
AMBA-1,6,inputs/AMBA-1/amba04_noassumptions.spectra,3,-1,2.9658871729916427,7.049559352017241,600.0,False,8,0,5,0,0.375,4.0,2.0,0,0,0,1.0
AMBA-1,7,inputs/AMBA-1/amba04_noassumptions.spectra,2,-1,2.886251798016019,3.779264127020724,600.0,False,5,0,3,0,0.4,4.0,2.0,0,0,0,1.0
AMBA-1,8,inputs/AMBA-1/amba04_noassumptions.spectra,3,-1,5.229372006026097,7.729434894979931,600.0,False,8,0,5,0,0.375,6.0,2.0,0,0,0,1.0
AMBA-1,9,inputs/AMBA-1/amba04_noassumptions.spectra,5,-1,5.950715600978583,12.01336967595853,600.0,False,13,0,8,0,0.38461538461538464,7.0,2.0,0,0,0,1.0
AMBA-1,10,inputs/AMBA-1/amba04_noassumptions.spectra,6,-1,4.554116132087074,10.137815047055485,600.0,False,16,0,10,0,0.375,6.0,2.0,0,0,0,1.0
AMBA-1,1,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,3,-1,42.80590075801592,675.1063526740181,600.0,True,62,0,50,1,0.04838709677419355,22.0,3.0,0,0,0,2.0
AMBA-1,2,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,8,-1,18.77162154810503,678.0337695900816,600.0,True,46,0,32,2,0.17391304347826086,10.0,3.0,0,0,0,1.0
AMBA-1,3,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,4,-1,18.352171860053204,678.3973835100187,600.0,True,35,0,27,1,0.11428571428571428,8.0,3.0,0,0,0,2.0
AMBA-1,4,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,2,-1,33.857176621910185,682.0059172459878,600.0,True,28,0,22,0,0.07142857142857142,16.0,3.0,0,0,0,2.0
AMBA-1,5,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,2,-1,22.075544534949582,683.112103399937,600.0,True,31,0,25,1,0.06451612903225806,14.0,3.0,0,0,0,2.0
AMBA-1,6,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,4,-1,208.31993244501064,665.6586714540026,600.0,True,73,0,60,1,0.0547945205479452,51.0,4.0,0,0,0,1.0
AMBA-1,7,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,8,-1,23.543036538059823,676.1569606070407,600.0,True,74,0,55,3,0.10810810810810811,13.0,3.0,0,0,0,1.0
AMBA-1,8,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,3,-1,32.42145417898428,663.8698394149542,600.0,True,72,0,56,0,0.041666666666666664,16.0,3.0,0,0,0,1.0
AMBA-1,9,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,3,-1,29.475833518081345,680.5255793210818,600.0,True,25,0,18,1,0.12,17.0,3.0,0,0,0,2.0
AMBA-1,10,inputs/AMBA-1/amba04_nosafety_nofairness.spectra,0,-1,,679.2226948820753,600.0,True,12,0,10,1,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba08.spectra,0,-1,,659.6819590969826,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba08.spectra,0,-1,,659.6656480330275,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba08.spectra,0,-1,,659.6749551369576,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,4,inputs/AMBA-1/amba08.spectra,0,-1,,659.6580753179733,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba08.spectra,0,-1,,659.7313635069877,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba08.spectra,0,-1,,659.6680057460035,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,7,inputs/AMBA-1/amba08.spectra,0,-1,,659.7125158889685,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba08.spectra,0,-1,,659.7000388320303,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,9,inputs/AMBA-1/amba08.spectra,0,-1,,659.6261613480747,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba08.spectra,0,-1,,659.6868251840351,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,707.6352357779979,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,707.7116864059353,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,709.7584541519172,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,4,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,707.9446431770921,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,707.7748758710222,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,707.6930651300063,600.0,True,1,0,0,0,0.0,,,0,0,0,
